,Survived,Pclass,SibSp,Parch,Gender,AgeFill,FareFill,PortFill
0,0,3,1,0,1,22.0,7.25,3.0
1,1,1,1,0,0,38.0,71.2833,1.0
2,1,3,0,0,0,26.0,7.925,3.0
3,1,1,1,0,0,35.0,53.1,3.0
4,0,3,0,0,1,35.0,8.05,3.0
5,0,3,0,0,1,25.0,8.4583,2.0
6,0,1,0,0,1,54.0,51.8625,3.0
7,0,3,3,1,1,2.0,21.075,3.0
8,1,3,0,2,0,27.0,11.1333,3.0
9,1,2,1,0,0,14.0,30.0708,1.0
10,1,3,1,1,0,4.0,16.7,3.0
11,1,1,0,0,0,58.0,26.55,3.0
12,0,3,0,0,1,20.0,8.05,3.0
13,0,3,1,5,1,39.0,31.275,3.0
14,0,3,0,0,0,14.0,7.8542,3.0
15,1,2,0,0,0,55.0,16.0,3.0
16,0,3,4,1,1,2.0,29.125,2.0
17,1,2,0,0,1,30.0,13.0,3.0
18,0,3,1,0,0,31.0,18.0,3.0
19,1,3,0,0,0,21.5,7.225,1.0
20,0,2,0,0,1,35.0,26.0,3.0
21,1,2,0,0,1,34.0,13.0,3.0
22,1,3,0,0,0,15.0,8.0292,2.0
23,1,1,0,0,1,28.0,35.5,3.0
24,0,3,3,1,0,8.0,21.075,3.0
25,1,3,1,5,0,38.0,31.3875,3.0
26,0,3,0,0,1,25.0,7.225,1.0
27,0,1,3,2,1,19.0,263.0,3.0
28,1,3,0,0,0,21.5,7.8792,2.0
29,0,3,0,0,1,25.0,7.8958,3.0
30,0,1,0,0,1,40.0,27.7208,1.0
31,1,1,1,0,0,35.0,146.5208,1.0
32,1,3,0,0,0,21.5,7.75,2.0
33,0,2,0,0,1,66.0,10.5,3.0
34,0,1,1,0,1,28.0,82.1708,1.0
35,0,1,1,0,1,42.0,52.0,3.0
36,1,3,0,0,1,25.0,7.2292,1.0
37,0,3,0,0,1,21.0,8.05,3.0
38,0,3,2,0,0,18.0,18.0,3.0
39,1,3,1,0,0,14.0,11.2417,1.0
40,0,3,1,0,0,40.0,9.475,3.0
41,0,2,1,0,0,27.0,21.0,3.0
42,0,3,0,0,1,25.0,7.8958,1.0
43,1,2,1,2,0,3.0,41.5792,1.0
44,1,3,0,0,0,19.0,7.8792,2.0
45,0,3,0,0,1,25.0,8.05,3.0
46,0,3,1,0,1,25.0,15.5,2.0
47,1,3,0,0,0,21.5,7.75,2.0
48,0,3,2,0,1,25.0,21.6792,1.0
49,0,3,1,0,0,18.0,17.8,3.0
50,0,3,4,1,1,7.0,39.6875,3.0
51,0,3,0,0,1,21.0,7.8,3.0
52,1,1,1,0,0,49.0,76.7292,1.0
53,1,2,1,0,0,29.0,26.0,3.0
54,0,1,0,1,1,65.0,61.9792,1.0
55,1,1,0,0,1,40.0,35.5,3.0
56,1,2,0,0,0,21.0,10.5,3.0
57,0,3,0,0,1,28.5,7.2292,1.0
58,1,2,1,2,0,5.0,27.75,3.0
59,0,3,5,2,1,11.0,46.9,3.0
60,0,3,0,0,1,22.0,7.2292,1.0
61,1,1,0,0,0,38.0,80.0,3.0
62,0,1,1,0,1,45.0,83.475,3.0
63,0,3,3,2,1,4.0,27.9,3.0
64,0,1,0,0,1,40.0,27.7208,1.0
65,1,3,1,1,1,25.0,15.2458,1.0
66,1,2,0,0,0,29.0,10.5,3.0
67,0,3,0,0,1,19.0,8.1583,3.0
68,1,3,4,2,0,17.0,7.925,3.0
69,0,3,2,0,1,26.0,8.6625,3.0
70,0,2,0,0,1,32.0,10.5,3.0
71,0,3,5,2,0,16.0,46.9,3.0
72,0,2,0,0,1,21.0,73.5,3.0
73,0,3,1,0,1,26.0,14.4542,1.0
74,1,3,0,0,1,32.0,56.4958,3.0
75,0,3,0,0,1,25.0,7.65,3.0
76,0,3,0,0,1,25.0,7.8958,3.0
77,0,3,0,0,1,25.0,8.05,3.0
78,1,2,0,2,1,0.83,29.0,3.0
79,1,3,0,0,0,30.0,12.475,3.0
80,0,3,0,0,1,22.0,9.0,3.0
81,1,3,0,0,1,29.0,9.5,3.0
82,1,3,0,0,0,21.5,7.7875,2.0
83,0,1,0,0,1,28.0,47.1,3.0
84,1,2,0,0,0,17.0,10.5,3.0
85,1,3,3,0,0,33.0,15.85,3.0
86,0,3,1,3,1,16.0,34.375,3.0
87,0,3,0,0,1,25.0,8.05,3.0
88,1,1,3,2,0,23.0,263.0,3.0
89,0,3,0,0,1,24.0,8.05,3.0
90,0,3,0,0,1,29.0,8.05,3.0
91,0,3,0,0,1,20.0,7.8542,3.0
92,0,1,1,0,1,46.0,61.175,3.0
93,0,3,1,2,1,26.0,20.575,3.0
94,0,3,0,0,1,59.0,7.25,3.0
95,0,3,0,0,1,25.0,8.05,3.0
96,0,1,0,0,1,71.0,34.6542,1.0
97,1,1,0,1,1,23.0,63.3583,1.0
98,1,2,0,1,0,34.0,23.0,3.0
99,0,2,1,0,1,34.0,26.0,3.0
100,0,3,0,0,0,28.0,7.8958,3.0
101,0,3,0,0,1,25.0,7.8958,3.0
102,0,1,0,1,1,21.0,77.2875,3.0
103,0,3,0,0,1,33.0,8.6542,3.0
104,0,3,2,0,1,37.0,7.925,3.0
105,0,3,0,0,1,28.0,7.8958,3.0
106,1,3,0,0,0,21.0,7.65,3.0
107,1,3,0,0,1,25.0,7.775,3.0
108,0,3,0,0,1,38.0,7.8958,3.0
109,1,3,1,0,0,21.5,24.15,2.0
110,0,1,0,0,1,47.0,52.0,3.0
111,0,3,1,0,0,14.5,14.4542,1.0
112,0,3,0,0,1,22.0,8.05,3.0
113,0,3,1,0,0,20.0,9.825,3.0
114,0,3,0,0,0,17.0,14.4583,1.0
115,0,3,0,0,1,21.0,7.925,3.0
116,0,3,0,0,1,70.5,7.75,2.0
117,0,2,1,0,1,29.0,21.0,3.0
118,0,1,0,1,1,24.0,247.5208,1.0
119,0,3,4,2,0,2.0,31.275,3.0
120,0,2,2,0,1,21.0,73.5,3.0
121,0,3,0,0,1,25.0,8.05,3.0
122,0,2,1,0,1,32.5,30.0708,1.0
123,1,2,0,0,0,32.5,13.0,3.0
124,0,1,0,1,1,54.0,77.2875,3.0
125,1,3,1,0,1,12.0,11.2417,1.0
126,0,3,0,0,1,25.0,7.75,2.0
127,1,3,0,0,1,24.0,7.1417,3.0
128,1,3,1,1,0,21.5,22.3583,1.0
129,0,3,0,0,1,45.0,6.975,3.0
130,0,3,0,0,1,33.0,7.8958,1.0
131,0,3,0,0,1,20.0,7.05,3.0
132,0,3,1,0,0,47.0,14.5,3.0
133,1,2,1,0,0,29.0,26.0,3.0
134,0,2,0,0,1,25.0,13.0,3.0
135,0,2,0,0,1,23.0,15.0458,1.0
136,1,1,0,2,0,19.0,26.2833,3.0
137,0,1,1,0,1,37.0,53.1,3.0
138,0,3,0,0,1,16.0,9.2167,3.0
139,0,1,0,0,1,24.0,79.2,1.0
140,0,3,0,2,0,21.5,15.2458,1.0
141,1,3,0,0,0,22.0,7.75,3.0
142,1,3,1,0,0,24.0,15.85,3.0
143,0,3,0,0,1,19.0,6.75,2.0
144,0,2,0,0,1,18.0,11.5,3.0
145,0,2,1,1,1,19.0,36.75,3.0
146,1,3,0,0,1,27.0,7.7958,3.0
147,0,3,2,2,0,9.0,34.375,3.0
148,0,2,0,2,1,36.5,26.0,3.0
149,0,2,0,0,1,42.0,13.0,3.0
150,0,2,0,0,1,51.0,12.525,3.0
151,1,1,1,0,0,22.0,66.6,3.0
152,0,3,0,0,1,55.5,8.05,3.0
153,0,3,0,2,1,40.5,14.5,3.0
154,0,3,0,0,1,25.0,7.3125,3.0
155,0,1,0,1,1,51.0,61.3792,1.0
156,1,3,0,0,0,16.0,7.7333,2.0
157,0,3,0,0,1,30.0,8.05,3.0
158,0,3,0,0,1,25.0,8.6625,3.0
159,0,3,8,2,1,25.0,69.55,3.0
160,0,3,0,1,1,44.0,16.1,3.0
161,1,2,0,0,0,40.0,15.75,3.0
162,0,3,0,0,1,26.0,7.775,3.0
163,0,3,0,0,1,17.0,8.6625,3.0
164,0,3,4,1,1,1.0,39.6875,3.0
165,1,3,0,2,1,9.0,20.525,3.0
166,1,1,0,1,0,35.0,55.0,3.0
167,0,3,1,4,0,45.0,27.9,3.0
168,0,1,0,0,1,40.0,25.925,3.0
169,0,3,0,0,1,28.0,56.4958,3.0
170,0,1,0,0,1,61.0,33.5,3.0
171,0,3,4,1,1,4.0,29.125,2.0
172,1,3,1,1,0,1.0,11.1333,3.0
173,0,3,0,0,1,21.0,7.925,3.0
174,0,1,0,0,1,56.0,30.6958,1.0
175,0,3,1,1,1,18.0,7.8542,3.0
176,0,3,3,1,1,25.0,25.4667,3.0
177,0,1,0,0,0,50.0,28.7125,1.0
178,0,2,0,0,1,30.0,13.0,3.0
179,0,3,0,0,1,36.0,0.0,3.0
180,0,3,8,2,0,21.5,69.55,3.0
181,0,2,0,0,1,30.0,15.05,1.0
182,0,3,4,2,1,9.0,31.3875,3.0
183,1,2,2,1,1,1.0,39.0,3.0
184,1,3,0,2,0,4.0,22.025,3.0
185,0,1,0,0,1,40.0,50.0,3.0
186,1,3,1,0,0,21.5,15.5,2.0
187,1,1,0,0,1,45.0,26.55,3.0
188,0,3,1,1,1,40.0,15.5,2.0
189,0,3,0,0,1,36.0,7.8958,3.0
190,1,2,0,0,0,32.0,13.0,3.0
191,0,2,0,0,1,19.0,13.0,3.0
192,1,3,1,0,0,19.0,7.8542,3.0
193,1,2,1,1,1,3.0,26.0,3.0
194,1,1,0,0,0,44.0,27.7208,1.0
195,1,1,0,0,0,58.0,146.5208,1.0
196,0,3,0,0,1,25.0,7.75,2.0
197,0,3,0,1,1,42.0,8.4042,3.0
198,1,3,0,0,0,21.5,7.75,2.0
199,0,2,0,0,0,24.0,13.0,3.0
200,0,3,0,0,1,28.0,9.5,3.0
201,0,3,8,2,1,25.0,69.55,3.0
202,0,3,0,0,1,34.0,6.4958,3.0
203,0,3,0,0,1,45.5,7.225,1.0
204,1,3,0,0,1,18.0,8.05,3.0
205,0,3,0,1,0,2.0,10.4625,3.0
206,0,3,1,0,1,32.0,15.85,3.0
207,1,3,0,0,1,26.0,18.7875,1.0
208,1,3,0,0,0,16.0,7.75,2.0
209,1,1,0,0,1,40.0,31.0,1.0
210,0,3,0,0,1,24.0,7.05,3.0
211,1,2,0,0,0,35.0,21.0,3.0
212,0,3,0,0,1,22.0,7.25,3.0
213,0,2,0,0,1,30.0,13.0,3.0
214,0,3,1,0,1,25.0,7.75,2.0
215,1,1,1,0,0,31.0,113.275,1.0
216,1,3,0,0,0,27.0,7.925,3.0
217,0,2,1,0,1,42.0,27.0,3.0
218,1,1,0,0,0,32.0,76.2917,1.0
219,0,2,0,0,1,30.0,10.5,3.0
220,1,3,0,0,1,16.0,8.05,3.0
221,0,2,0,0,1,27.0,13.0,3.0
222,0,3,0,0,1,51.0,8.05,3.0
223,0,3,0,0,1,25.0,7.8958,3.0
224,1,1,1,0,1,38.0,90.0,3.0
225,0,3,0,0,1,22.0,9.35,3.0
226,1,2,0,0,1,19.0,10.5,3.0
227,0,3,0,0,1,20.5,7.25,3.0
228,0,2,0,0,1,18.0,13.0,3.0
229,0,3,3,1,0,21.5,25.4667,3.0
230,1,1,1,0,0,35.0,83.475,3.0
231,0,3,0,0,1,29.0,7.775,3.0
232,0,2,0,0,1,59.0,13.5,3.0
233,1,3,4,2,0,5.0,31.3875,3.0
234,0,2,0,0,1,24.0,10.5,3.0
235,0,3,0,0,0,21.5,7.55,3.0
236,0,2,1,0,1,44.0,26.0,3.0
237,1,2,0,2,0,8.0,26.25,3.0
238,0,2,0,0,1,19.0,10.5,3.0
239,0,2,0,0,1,33.0,12.275,3.0
240,0,3,1,0,0,21.5,14.4542,1.0
241,1,3,1,0,0,21.5,15.5,2.0
242,0,2,0,0,1,29.0,10.5,3.0
243,0,3,0,0,1,22.0,7.125,3.0
244,0,3,0,0,1,30.0,7.225,1.0
245,0,1,2,0,1,44.0,90.0,2.0
246,0,3,0,0,0,25.0,7.775,3.0
247,1,2,0,2,0,24.0,14.5,3.0
248,1,1,1,1,1,37.0,52.5542,3.0
249,0,2,1,0,1,54.0,26.0,3.0
250,0,3,0,0,1,25.0,7.25,3.0
251,0,3,1,1,0,29.0,10.4625,3.0
252,0,1,0,0,1,62.0,26.55,3.0
253,0,3,1,0,1,30.0,16.1,3.0
254,0,3,0,2,0,41.0,20.2125,3.0
255,1,3,0,2,0,29.0,15.2458,1.0
256,1,1,0,0,0,35.0,79.2,1.0
257,1,1,0,0,0,30.0,86.5,3.0
258,1,1,0,0,0,35.0,512.3292,1.0
259,1,2,0,1,0,50.0,26.0,3.0
260,0,3,0,0,1,25.0,7.75,2.0
261,1,3,4,2,1,3.0,31.3875,3.0
262,0,1,1,1,1,52.0,79.65,3.0
263,0,1,0,0,1,40.0,0.0,3.0
264,0,3,0,0,0,21.5,7.75,2.0
265,0,2,0,0,1,36.0,10.5,3.0
266,0,3,4,1,1,16.0,39.6875,3.0
267,1,3,1,0,1,25.0,7.775,3.0
268,1,1,0,1,0,58.0,153.4625,3.0
269,1,1,0,0,0,35.0,135.6333,3.0
270,0,1,0,0,1,40.0,31.0,3.0
271,1,3,0,0,1,25.0,0.0,3.0
272,1,2,0,1,0,41.0,19.5,3.0
273,0,1,0,1,1,37.0,29.7,1.0
274,1,3,0,0,0,21.5,7.75,2.0
275,1,1,1,0,0,63.0,77.9583,3.0
276,0,3,0,0,0,45.0,7.75,3.0
277,0,2,0,0,1,30.0,0.0,3.0
278,0,3,4,1,1,7.0,29.125,2.0
279,1,3,1,1,0,35.0,20.25,3.0
280,0,3,0,0,1,65.0,7.75,2.0
281,0,3,0,0,1,28.0,7.8542,3.0
282,0,3,0,0,1,16.0,9.5,3.0
283,1,3,0,0,1,19.0,8.05,3.0
284,0,1,0,0,1,40.0,26.0,3.0
285,0,3,0,0,1,33.0,8.6625,1.0
286,1,3,0,0,1,30.0,9.5,3.0
287,0,3,0,0,1,22.0,7.8958,3.0
288,1,2,0,0,1,42.0,13.0,3.0
289,1,3,0,0,0,22.0,7.75,2.0
290,1,1,0,0,0,26.0,78.85,3.0
291,1,1,1,0,0,19.0,91.0792,1.0
292,0,2,0,0,1,36.0,12.875,1.0
293,0,3,0,0,0,24.0,8.85,3.0
294,0,3,0,0,1,24.0,7.8958,3.0
295,0,1,0,0,1,40.0,27.7208,1.0
296,0,3,0,0,1,23.5,7.2292,1.0
297,0,1,1,2,0,2.0,151.55,3.0
298,1,1,0,0,1,40.0,30.5,3.0
299,1,1,0,1,0,50.0,247.5208,1.0
300,1,3,0,0,0,21.5,7.75,2.0
301,1,3,2,0,1,25.0,23.25,2.0
302,0,3,0,0,1,19.0,0.0,3.0
303,1,2,0,0,0,28.0,12.35,2.0
304,0,3,0,0,1,25.0,8.05,3.0
305,1,1,1,2,1,0.92,151.55,3.0
306,1,1,0,0,0,35.0,110.8833,1.0
307,1,1,1,0,0,17.0,108.9,1.0
308,0,2,1,0,1,30.0,24.0,1.0
309,1,1,0,0,0,30.0,56.9292,1.0
310,1,1,0,0,0,24.0,83.1583,1.0
311,1,1,2,2,0,18.0,262.375,1.0
312,0,2,1,1,0,26.0,26.0,3.0
313,0,3,0,0,1,28.0,7.8958,3.0
314,0,2,1,1,1,43.0,26.25,3.0
315,1,3,0,0,0,26.0,7.8542,3.0
316,1,2,1,0,0,24.0,26.0,3.0
317,0,2,0,0,1,54.0,14.0,3.0
318,1,1,0,2,0,31.0,164.8667,3.0
319,1,1,1,1,0,40.0,134.5,1.0
320,0,3,0,0,1,22.0,7.25,3.0
321,0,3,0,0,1,27.0,7.8958,3.0
322,1,2,0,0,0,30.0,12.35,2.0
323,1,2,1,1,0,22.0,29.0,3.0
324,0,3,8,2,1,25.0,69.55,3.0
325,1,1,0,0,0,36.0,135.6333,1.0
326,0,3,0,0,1,61.0,6.2375,3.0
327,1,2,0,0,0,36.0,13.0,3.0
328,1,3,1,1,0,31.0,20.525,3.0
329,1,1,0,1,0,16.0,57.9792,1.0
330,1,3,2,0,0,21.5,23.25,2.0
331,0,1,0,0,1,45.5,28.5,3.0
332,0,1,0,1,1,38.0,153.4625,3.0
333,0,3,2,0,1,16.0,18.0,3.0
334,1,1,1,0,0,35.0,133.65,3.0
335,0,3,0,0,1,25.0,7.8958,3.0
336,0,1,1,0,1,29.0,66.6,3.0
337,1,1,0,0,0,41.0,134.5,1.0
338,1,3,0,0,1,45.0,8.05,3.0
339,0,1,0,0,1,45.0,35.5,3.0
340,1,2,1,1,1,2.0,26.0,3.0
341,1,1,3,2,0,24.0,263.0,3.0
342,0,2,0,0,1,28.0,13.0,3.0
343,0,2,0,0,1,25.0,13.0,3.0
344,0,2,0,0,1,36.0,13.0,3.0
345,1,2,0,0,0,24.0,13.0,3.0
346,1,2,0,0,0,40.0,13.0,3.0
347,1,3,1,0,0,21.5,16.1,3.0
348,1,3,1,1,1,3.0,15.9,3.0
349,0,3,0,0,1,42.0,8.6625,3.0
350,0,3,0,0,1,23.0,9.225,3.0
351,0,1,0,0,1,40.0,35.0,3.0
352,0,3,1,1,1,15.0,7.2292,1.0
353,0,3,1,0,1,25.0,17.8,3.0
354,0,3,0,0,1,25.0,7.225,1.0
355,0,3,0,0,1,28.0,9.5,3.0
356,1,1,0,1,0,22.0,55.0,3.0
357,0,2,0,0,0,38.0,13.0,3.0
358,1,3,0,0,0,21.5,7.8792,2.0
359,1,3,0,0,0,21.5,7.8792,2.0
360,0,3,1,4,1,40.0,27.9,3.0
361,0,2,1,0,1,29.0,27.7208,1.0
362,0,3,0,1,0,45.0,14.4542,1.0
363,0,3,0,0,1,35.0,7.05,3.0
364,0,3,1,0,1,25.0,15.5,2.0
365,0,3,0,0,1,30.0,7.25,3.0
366,1,1,1,0,0,60.0,75.25,1.0
367,1,3,0,0,0,21.5,7.2292,1.0
368,1,3,0,0,0,21.5,7.75,2.0
369,1,1,0,0,0,24.0,69.3,1.0
370,1,1,1,0,1,25.0,55.4417,1.0
371,0,3,1,0,1,18.0,6.4958,3.0
372,0,3,0,0,1,19.0,8.05,3.0
373,0,1,0,0,1,22.0,135.6333,1.0
374,0,3,3,1,0,3.0,21.075,3.0
375,1,1,1,0,0,35.0,82.1708,1.0
376,1,3,0,0,0,22.0,7.25,3.0
377,0,1,0,2,1,27.0,211.5,1.0
378,0,3,0,0,1,20.0,4.0125,1.0
379,0,3,0,0,1,19.0,7.775,3.0
380,1,1,0,0,0,42.0,227.525,1.0
381,1,3,0,2,0,1.0,15.7417,1.0
382,0,3,0,0,1,32.0,7.925,3.0
383,1,1,1,0,0,35.0,52.0,3.0
384,0,3,0,0,1,25.0,7.8958,3.0
385,0,2,0,0,1,18.0,73.5,3.0
386,0,3,5,2,1,1.0,46.9,3.0
387,1,2,0,0,0,36.0,13.0,3.0
388,0,3,0,0,1,25.0,7.7292,2.0
389,1,2,0,0,0,17.0,12.0,1.0
390,1,1,1,2,1,36.0,120.0,3.0
391,1,3,0,0,1,21.0,7.7958,3.0
392,0,3,2,0,1,28.0,7.925,3.0
393,1,1,1,0,0,23.0,113.275,1.0
394,1,3,0,2,0,24.0,16.7,3.0
395,0,3,0,0,1,22.0,7.7958,3.0
396,0,3,0,0,0,31.0,7.8542,3.0
397,0,2,0,0,1,46.0,26.0,3.0
398,0,2,0,0,1,23.0,10.5,3.0
399,1,2,0,0,0,28.0,12.65,3.0
400,1,3,0,0,1,39.0,7.925,3.0
401,0,3,0,0,1,26.0,8.05,3.0
402,0,3,1,0,0,21.0,9.825,3.0
403,0,3,1,0,1,28.0,15.85,3.0
404,0,3,0,0,0,20.0,8.6625,3.0
405,0,2,1,0,1,34.0,21.0,3.0
406,0,3,0,0,1,51.0,7.75,3.0
407,1,2,1,1,1,3.0,18.75,3.0
408,0,3,0,0,1,21.0,7.775,3.0
409,0,3,3,1,0,21.5,25.4667,3.0
410,0,3,0,0,1,25.0,7.8958,3.0
411,0,3,0,0,1,25.0,6.8583,2.0
412,1,1,1,0,0,33.0,90.0,2.0
413,0,2,0,0,1,30.0,0.0,3.0
414,1,3,0,0,1,44.0,7.925,3.0
415,0,3,0,0,0,21.5,8.05,3.0
416,1,2,1,1,0,34.0,32.5,3.0
417,1,2,0,2,0,18.0,13.0,3.0
418,0,2,0,0,1,30.0,13.0,3.0
419,0,3,0,2,0,10.0,24.15,3.0
420,0,3,0,0,1,25.0,7.8958,1.0
421,0,3,0,0,1,21.0,7.7333,2.0
422,0,3,0,0,1,29.0,7.875,3.0
423,0,3,1,1,0,28.0,14.4,3.0
424,0,3,1,1,1,18.0,20.2125,3.0
425,0,3,0,0,1,25.0,7.25,3.0
426,1,2,1,0,0,28.0,26.0,3.0
427,1,2,0,0,0,19.0,26.0,3.0
428,0,3,0,0,1,25.0,7.75,2.0
429,1,3,0,0,1,32.0,8.05,3.0
430,1,1,0,0,1,28.0,26.55,3.0
431,1,3,1,0,0,21.5,16.1,3.0
432,1,2,1,0,0,42.0,26.0,3.0
433,0,3,0,0,1,17.0,7.125,3.0
434,0,1,1,0,1,50.0,55.9,3.0
435,1,1,1,2,0,14.0,120.0,3.0
436,0,3,2,2,0,21.0,34.375,3.0
437,1,2,2,3,0,24.0,18.75,3.0
438,0,1,1,4,1,64.0,263.0,3.0
439,0,2,0,0,1,31.0,10.5,3.0
440,1,2,1,1,0,45.0,26.25,3.0
441,0,3,0,0,1,20.0,9.5,3.0
442,0,3,1,0,1,25.0,7.775,3.0
443,1,2,0,0,0,28.0,13.0,3.0
444,1,3,0,0,1,25.0,8.1125,3.0
445,1,1,0,2,1,4.0,81.8583,3.0
