0_Survived,Age,CabinClassA,CabinClassB,CabinClassC,CabinClassD,CabinClassE,CabinClassF,CabinClassG,CabinClassT,Fare,Gender,NameLuck,Parch,Pclass1,Pclass2,Pclass3,PortC,PortQ,PortS,SibSp
0,0.275,0,0,0,0,0,0,0,0,0.0141510575622,1,-1.0,0.0,0,0,1,0,0,1,0.125
1,0.475,0,0,1,0,0,0,0,0,0.139135735383,0,-1.0,0.0,1,0,0,1,0,0,0.125
1,0.325,0,0,0,0,0,0,0,0,0.015468569818,0,-1.0,0.0,0,0,1,0,0,1,0.0
1,0.4375,0,0,1,0,0,0,0,0,0.103644297456,0,-1.0,0.0,1,0,0,0,0,1,0.125
0,0.4375,0,0,0,0,0,0,0,0,0.0157125535691,1,0.18,0.0,0,0,1,0,0,1,0.0
0,0.3125,0,0,0,0,0,0,0,0,0.0165095020936,1,-1.0,0.0,0,0,1,0,1,0,0.0
0,0.675,0,0,0,0,1,0,0,0,0.10122885832,1,-1.0,0.0,1,0,0,0,0,1,0.0
0,0.025,0,0,0,0,0,0,0,0,0.0411356604308,1,-1.0,0.111111111111,0,0,1,0,0,1,0.375
1,0.3375,0,0,0,0,0,0,0,0,0.0217307543665,0,-1.0,0.222222222222,0,0,1,0,0,1,0.0
1,0.175,0,0,0,0,0,0,0,0,0.058694292654,0,-1.0,0.0,0,1,0,1,0,0,0.125
1,0.05,0,0,0,0,0,0,1,0,0.0325962291433,0,-1.0,0.111111111111,0,0,1,0,0,1,0.125
1,0.725,0,0,1,0,0,0,0,0,0.0518221487278,0,1.0,0.0,1,0,0,0,0,1,0.0
0,0.25,0,0,0,0,0,0,0,0,0.0157125535691,1,0.18,0.0,0,0,1,0,0,1,0.0
0,0.4875,0,0,0,0,0,0,0,0,0.0610447345184,1,-1.0,0.555555555556,0,0,1,0,0,1,0.125
0,0.175,0,0,0,0,0,0,0,0,0.0153303774214,0,-1.0,0.0,0,0,1,0,0,1,0.0
1,0.6875,0,0,0,0,0,0,0,0,0.0312299201373,0,0.7,0.0,0,1,0,0,0,1,0.0
0,0.025,0,0,0,0,0,0,0,0,0.0568482139999,1,-1.0,0.111111111111,0,0,1,0,1,0,0.5
1,0.36875,0,0,0,0,0,0,0,0,0.0253743101115,1,0.25,0.0,0,1,0,0,0,1,0.0
0,0.3875,0,0,0,0,0,0,0,0,0.0351336601544,0,-1.0,0.0,0,0,1,0,0,1,0.125
1,0.275,0,0,0,0,0,0,0,0,0.014102260812,0,-1.0,0.0,0,0,1,1,0,0,0.0
0,0.4375,0,0,0,0,0,0,0,0,0.0507486202231,1,-1.0,0.0,0,1,0,0,0,1,0.0
1,0.425,0,0,0,1,0,0,0,0,0.0253743101115,1,-1.0,0.0,0,1,0,0,0,1,0.0
1,0.1875,0,0,0,0,0,0,0,0,0.0156719546729,0,0.8,0.0,0,0,1,0,1,0,0.0
1,0.35,1,0,0,0,0,0,0,0,0.0692913853046,1,0.25,0.0,1,0,0,0,0,1,0.0
0,0.1,0,0,0,0,0,0,0,0,0.0411356604308,0,-1.0,0.111111111111,0,0,1,0,0,1,0.375
1,0.475,0,0,0,0,0,0,0,0,0.0612643198943,0,-1.0,0.555555555556,0,0,1,0,0,1,0.125
0,0.3125,0,0,0,0,0,0,0,0,0.014102260812,1,-1.0,0.0,0,0,1,1,0,0,0.0
0,0.2375,0,0,1,0,0,0,0,0,0.513341812257,1,0.25,0.222222222222,1,0,0,0,0,1,0.375
1,0.275,0,0,0,0,0,0,0,0,0.0153791741716,0,-1.0,0.0,0,0,1,0,1,0,0.0
0,0.3125,0,0,0,0,0,0,0,0,0.0154115752137,1,-1.0,0.0,0,0,1,0,0,1,0.0
0,0.5,0,0,0,0,0,0,0,0,0.0541073981339,1,-1.0,0.0,1,0,0,1,0,0,0.0
1,0.45,0,1,0,0,0,0,0,0,0.285989555153,0,0.25,0.0,1,0,0,1,0,0,0.125
1,0.275,0,0,0,0,0,0,0,0,0.0151269925665,0,0.7,0.0,0,0,1,0,1,0,0.0
0,0.825,0,0,0,0,0,0,0,0,0.0204946350901,1,-1.0,0.0,0,1,0,0,0,1,0.0
0,0.35,0,0,0,0,0,0,0,0,0.160386720101,1,-1.0,0.0,1,0,0,1,0,0,0.125
0,0.525,0,0,0,0,0,0,0,0,0.101497240446,1,-1.0,0.0,1,0,0,0,0,1,0.125
1,0.3125,0,0,0,0,0,0,0,0,0.014110458666,1,-1.0,0.0,0,0,1,1,0,0,0.0
0,0.2625,0,0,0,0,0,0,0,0,0.0157125535691,1,0.25,0.0,0,0,1,0,0,1,0.0
0,0.225,0,0,0,0,0,0,0,0,0.0351336601544,0,-1.0,0.0,0,0,1,0,0,1,0.25
1,0.175,0,0,0,0,0,0,0,0,0.0219423370755,0,-1.0,0.0,0,0,1,1,0,0,0.125
0,0.5,0,0,0,0,0,0,0,0,0.0184939683313,0,-1.0,0.0,0,0,1,0,0,1,0.125
0,0.3375,0,0,0,0,0,0,0,0,0.0409892701802,0,0.25,0.0,0,1,0,0,0,1,0.125
0,0.3125,0,0,0,0,0,0,0,0,0.0154115752137,1,-1.0,0.0,0,0,1,1,0,0,0.0
1,0.0375,0,0,0,0,0,0,0,0,0.0811571934608,0,-1.0,0.222222222222,0,1,0,1,0,0,0.125
1,0.2375,0,0,0,0,0,0,0,0,0.0153791741716,0,-1.0,0.0,0,0,1,0,1,0,0.0
0,0.3125,0,0,0,0,0,0,0,0,0.0157125535691,1,0.25,0.0,0,0,1,0,0,1,0.0
0,0.3125,0,0,0,0,0,0,0,0,0.030253985133,1,-1.0,0.0,0,0,1,0,1,0,0.125
1,0.275,0,0,0,0,0,0,0,0,0.0151269925665,0,-1.0,0.0,0,0,1,0,1,0,0.0
0,0.3125,0,0,0,0,0,0,0,0,0.04231498029,1,-1.0,0.0,0,0,1,1,0,0,0.25
0,0.225,0,0,0,0,0,0,0,0,0.0347432861527,0,-1.0,0.0,0,0,1,0,0,1,0.125
0,0.0875,0,0,0,0,0,0,0,0,0.0774648409655,1,-1.0,0.111111111111,0,0,1,0,0,1,0.5
0,0.2625,0,0,0,0,0,0,0,0,0.0152245860669,1,-1.0,0.0,0,0,1,0,0,1,0.0
1,0.6125,0,0,0,1,0,0,0,0,0.149765424262,0,0.18,0.0,1,0,0,1,0,0,0.125
1,0.3625,0,0,0,0,0,0,0,0,0.0507486202231,0,1.0,0.0,0,1,0,0,0,1,0.125
0,0.8125,0,1,0,0,0,0,0,0,0.120975341636,1,-1.0,0.111111111111,1,0,0,1,0,0,0.0
1,0.525,0,0,1,0,0,0,0,0,0.0692913853046,1,-1.0,0.0,1,0,0,0,0,1,0.0
1,0.2625,0,0,0,0,0,0,0,0,0.0204946350901,0,-1.0,0.0,0,1,0,0,0,1,0.0
0,0.35625,0,0,0,0,0,0,0,0,0.014110458666,1,-1.0,0.0,0,0,1,1,0,0,0.0
1,0.0625,0,0,0,0,0,0,0,0,0.0541643927381,0,-1.0,0.222222222222,0,1,0,0,0,1,0.125
0,0.1375,0,0,0,0,0,0,0,0,0.0915427034024,1,0.25,0.222222222222,0,0,1,0,0,1,0.625
0,0.275,0,0,0,0,0,0,0,0,0.014110458666,1,-1.0,0.0,0,0,1,1,0,0,0.0
1,0.475,0,1,0,0,0,0,0,0,0.156149600686,0,-1.0,0.0,1,0,0,0,0,0,0.0
0,0.5625,0,0,1,0,0,0,0,0,0.162932348966,1,0.18,0.0,1,0,0,0,0,1,0.125
0,0.05,0,0,0,0,0,0,0,0,0.0544571732394,1,-1.0,0.222222222222,0,0,1,0,0,1,0.375
0,0.525,0,0,0,0,0,0,0,0,0.0541073981339,1,-1.0,0.0,1,0,0,1,0,0,0.0
1,0.3125,0,0,0,0,0,0,0,0,0.0297578197768,1,-1.0,0.111111111111,0,0,1,1,0,0,0.125
1,0.3625,0,0,0,0,0,1,0,0,0.0204946350901,0,1.0,0.0,0,1,0,0,0,1,0.0
0,0.2375,0,0,0,0,0,0,0,0,0.015923941091,1,-1.0,0.0,0,0,1,0,0,1,0.0
1,0.2125,0,0,0,0,0,0,0,0,0.015468569818,0,-1.0,0.222222222222,0,0,1,0,0,1,0.5
0,0.325,0,0,0,0,0,0,0,0,0.0169080739493,1,-1.0,0.0,0,0,1,0,0,1,0.25
0,0.4,0,0,0,0,0,0,0,0,0.0204946350901,1,-1.0,0.0,0,1,0,0,0,1,0.0
0,0.2,0,0,0,0,0,0,0,0,0.0915427034024,0,-1.0,0.222222222222,0,0,1,0,0,1,0.625
0,0.2625,0,0,0,0,0,0,0,0,0.143462445631,1,-1.0,0.0,0,1,0,0,0,1,0.0
0,0.325,0,0,0,0,0,0,0,0,0.028212719478,1,-1.0,0.0,0,0,1,1,0,0,0.125
1,0.4,0,0,0,0,0,0,0,0,0.110272457631,1,-1.0,0.0,0,0,1,0,0,1,0.0
0,0.3125,0,0,0,0,0,1,0,0,0.0149318055656,1,-1.0,0.0,0,0,1,0,0,1,0.0
0,0.3125,0,0,0,0,0,0,0,0,0.0154115752137,1,-1.0,0.0,0,0,1,0,0,1,0.0
0,0.3125,0,0,0,0,0,0,0,0,0.0157125535691,1,-1.0,0.0,0,0,1,0,0,1,0.0
1,0.010375,0,0,0,0,0,0,0,0,0.0566042302488,1,-1.0,0.222222222222,0,1,0,0,0,1,0.0
1,0.375,0,0,0,0,0,0,0,0,0.024349578357,0,1.0,0.0,0,0,1,0,0,1,0.0
0,0.275,0,0,0,0,0,0,0,0,0.0175668300772,1,-1.0,0.0,0,0,1,0,0,1,0.0
1,0.3625,0,0,0,0,0,0,0,0,0.0185427650815,1,-1.0,0.0,0,0,1,0,0,1,0.0
1,0.275,0,0,0,0,0,0,0,0,0.0152001876918,0,-1.0,0.0,0,0,1,0,1,0,0.0
0,0.35,0,0,0,0,0,0,0,0,0.0919330774041,1,-1.0,0.0,1,0,0,0,0,1,0.0
1,0.2125,0,0,0,0,0,0,0,0,0.0204946350901,0,-1.0,0.0,0,1,0,0,0,1,0.0
1,0.4125,0,0,0,0,0,0,0,0,0.030937139636,0,-1.0,0.0,0,0,1,0,0,1,0.375
0,0.2,0,0,0,0,0,0,0,0,0.067095531545,1,0.25,0.333333333333,0,0,1,0,0,1,0.125
0,0.3125,0,0,0,0,0,0,0,0,0.0157125535691,1,-1.0,0.0,0,0,1,0,0,1,0.0
1,0.2875,0,0,1,0,0,0,0,0,0.513341812257,0,-1.0,0.222222222222,1,0,0,0,0,1,0.375
0,0.3,0,0,0,0,0,0,0,0,0.0157125535691,1,-1.0,0.0,0,0,1,0,0,1,0.0
0,0.3625,0,0,0,0,0,0,0,0,0.0157125535691,1,-1.0,0.0,0,0,1,0,0,1,0.0
0,0.25,0,0,0,0,0,0,0,0,0.0153303774214,1,-1.0,0.0,0,0,1,0,0,1,0.0
0,0.575,0,0,0,0,1,0,0,0,0.119405647775,1,-1.0,0.0,1,0,0,0,0,1,0.125
0,0.325,0,0,0,0,0,0,0,0,0.0401597254265,1,-1.0,0.222222222222,0,0,1,0,0,1,0.125
0,0.7375,0,0,0,0,0,0,0,0,0.0141510575622,1,-1.0,0.0,0,0,1,0,0,1,0.0
0,0.3125,0,0,0,0,0,0,0,0,0.0157125535691,1,0.25,0.0,0,0,1,0,0,1,0.0
0,0.8875,1,0,0,0,0,0,0,0,0.0676404936513,1,0.3,0.0,1,0,0,1,0,0,0.0
1,0.2875,0,0,0,1,0,0,0,0,0.123667165565,1,0.25,0.111111111111,1,0,0,1,0,0,0.0
1,0.425,0,0,0,0,0,0,0,0,0.0448930101973,0,-1.0,0.111111111111,0,1,0,0,0,1,0.0
0,0.425,0,0,0,0,0,0,0,0,0.0507486202231,1,-1.0,0.0,0,1,0,0,0,1,0.125
0,0.35,0,0,0,0,0,0,0,0,0.0154115752137,0,-1.0,0.0,0,0,1,0,0,1,0.0
0,0.3125,0,0,0,0,0,0,0,0,0.0154115752137,1,-1.0,0.0,0,0,1,0,0,1,0.0
0,0.2625,0,0,0,1,0,0,0,0,0.150855153288,1,-1.0,0.111111111111,1,0,0,0,0,1,0.0
0,0.4125,0,0,0,0,0,0,0,0,0.0168918734283,1,-1.0,0.0,0,0,1,0,0,1,0.0
0,0.4625,0,0,0,0,0,0,0,0,0.015468569818,1,-1.0,0.0,0,0,1,0,0,1,0.25
0,0.35,0,0,0,0,0,0,0,0,0.0154115752137,1,-1.0,0.0,0,0,1,0,0,1,0.0
1,0.2625,0,0,0,0,0,0,0,0,0.0149318055656,0,0.8,0.0,0,0,1,0,0,1,0.0
1,0.3125,0,0,0,0,0,0,0,0,0.0151757893167,1,-1.0,0.0,0,0,1,0,0,1,0.0
0,0.475,0,0,0,0,0,0,0,0,0.0154115752137,1,-1.0,0.0,0,0,1,0,0,1,0.0
1,0.275,0,0,0,0,0,0,0,0,0.0471376607072,0,-1.0,0.0,0,0,1,0,1,0,0.125
0,0.5875,0,0,1,0,0,0,0,0,0.101497240446,1,-1.0,0.0,1,0,0,0,0,1,0.0
0,0.18125,0,0,0,0,0,0,0,0,0.028212719478,0,-1.0,0.0,0,0,1,1,0,0,0.125
0,0.275,0,0,0,0,0,0,0,0,0.0157125535691,1,-1.0,0.0,0,0,1,0,0,1,0.0
0,0.25,0,0,0,0,0,0,0,0,0.0191771228343,0,-1.0,0.0,0,0,1,0,0,1,0.125
0,0.2125,0,0,0,0,0,0,0,0,0.0282207221451,0,-1.0,0.0,0,0,1,1,0,0,0.0
0,0.2625,0,0,0,0,0,0,0,0,0.015468569818,1,-1.0,0.0,0,0,1,0,0,1,0.0
0,0.88125,0,0,0,0,0,0,0,0,0.0151269925665,1,-1.0,0.0,0,0,1,0,1,0,0.0
0,0.3625,0,0,0,0,0,0,0,0,0.0409892701802,1,0.25,0.0,0,1,0,0,0,1,0.125
0,0.3,0,1,0,0,0,0,0,0,0.48312842602,1,-1.0,0.111111111111,1,0,0,1,0,0,0.0
0,0.025,0,0,0,0,0,0,0,0,0.0610447345184,0,0.8,0.222222222222,0,0,1,0,0,1,0.5
0,0.2625,0,0,0,0,0,0,0,0,0.143462445631,1,0.3,0.0,0,1,0,0,0,1,0.25
0,0.3125,0,0,0,0,0,0,0,0,0.0157125535691,1,0.25,0.0,0,0,1,0,0,1,0.0
0,0.40625,0,0,0,0,0,0,0,0,0.058694292654,1,-1.0,0.0,0,1,0,1,0,0,0.125
1,0.40625,0,0,0,0,1,0,0,0,0.0253743101115,0,-1.0,0.0,0,1,0,0,0,1,0.0
0,0.675,0,0,0,1,0,0,0,0,0.150855153288,1,-1.0,0.111111111111,1,0,0,0,0,1,0.0
1,0.15,0,0,0,0,0,0,0,0,0.0219423370755,1,-1.0,0.0,0,0,1,1,0,0,0.125
0,0.3125,0,0,0,0,0,0,0,0,0.0151269925665,1,-1.0,0.0,0,0,1,0,1,0,0.0
1,0.3,0,0,0,0,0,0,0,0,0.0139396700403,1,-1.0,0.0,0,0,1,0,0,1,0.0
1,0.275,0,0,0,0,0,1,0,0,0.0436404952128,0,0.8,0.111111111111,0,0,1,1,0,0,0.125
0,0.5625,0,0,0,0,0,0,0,0,0.0136142933098,1,-1.0,0.0,0,0,1,0,0,1,0.0
0,0.4125,0,0,0,0,0,0,0,0,0.0154115752137,1,-1.0,0.0,0,0,1,1,0,0,0.0
0,0.25,0,0,0,0,0,0,0,0,0.0137606835605,1,-1.0,0.0,0,0,1,0,0,1,0.0
0,0.5875,0,0,0,0,0,0,0,0,0.0283021151244,0,-1.0,0.0,0,0,1,0,0,1,0.125
1,0.3625,0,0,0,0,0,0,0,0,0.0507486202231,0,-1.0,0.0,0,1,0,0,0,1,0.125
0,0.3125,0,0,0,0,0,0,0,0,0.0253743101115,1,-1.0,0.0,0,1,0,0,0,1,0.0
0,0.2875,0,0,0,0,0,0,0,0,0.0293674457751,1,-1.0,0.0,0,1,0,1,0,0,0.0
1,0.2375,0,0,0,1,0,0,0,0,0.0513015849965,0,-1.0,0.222222222222,1,0,0,0,0,1,0.0
0,0.4625,0,0,1,0,0,0,0,0,0.103644297456,1,-1.0,0.0,1,0,0,0,0,1,0.125
0,0.2,0,0,0,0,0,0,0,0,0.0179898003081,1,-1.0,0.0,0,0,1,0,0,1,0.0
0,0.3,0,1,0,0,0,0,0,0,0.15458810468,1,-1.0,0.0,1,0,0,1,0,0,0.0
0,0.275,0,0,0,0,0,0,0,0,0.0297578197768,0,-1.0,0.222222222222,0,0,1,1,0,0,0.0
1,0.275,0,0,0,0,0,0,0,0,0.0151269925665,0,0.8,0.0,0,0,1,0,0,1,0.0
1,0.3,0,0,0,0,0,0,0,0,0.030937139636,0,-1.0,0.0,0,0,1,0,0,1,0.125
0,0.2375,0,0,0,0,0,0,0,0,0.0131751225579,1,-1.0,0.0,0,0,1,0,1,0,0.0
0,0.225,0,0,0,0,0,0,0,0,0.0224465050987,1,-1.0,0.0,0,1,0,0,0,1,0.0
0,0.2375,0,0,0,0,0,0,0,0,0.0717312228153,1,0.25,0.111111111111,0,1,0,0,0,1,0.125
1,0.3375,0,0,0,0,0,0,0,0,0.0152163882129,1,-1.0,0.0,0,0,1,0,0,1,0.0
0,0.1125,0,0,0,0,0,0,0,0,0.067095531545,0,-1.0,0.222222222222,0,0,1,0,0,1,0.25
0,0.45625,0,0,0,0,0,1,0,0,0.0507486202231,1,-1.0,0.222222222222,0,1,0,0,0,1,0.0
0,0.525,0,0,0,0,0,0,0,0,0.0253743101115,1,0.18,0.0,0,1,0,0,0,1,0.0
0,0.6375,0,0,0,0,0,0,0,0,0.0244471718575,1,-1.0,0.0,0,1,0,0,0,1,0.0
1,0.275,0,0,1,0,0,0,0,0,0.129994542571,0,0.18,0.0,1,0,0,0,0,1,0.125
0,0.69375,0,0,0,0,0,0,0,0,0.0157125535691,1,-1.0,0.0,0,0,1,0,0,1,0.0
0,0.50625,0,0,0,0,0,0,0,0,0.0283021151244,1,-1.0,0.222222222222,0,0,1,0,0,1,0.0
0,0.3125,0,0,0,0,0,0,0,0,0.0142730494377,1,-1.0,0.0,0,0,1,0,0,1,0.0
0,0.6375,0,0,0,0,0,0,0,0,0.119804219631,1,0.25,0.111111111111,1,0,0,1,0,0,0.0
1,0.2,0,0,0,0,0,0,0,0,0.0150943963374,0,-1.0,0.0,0,0,1,0,1,0,0.0
0,0.375,0,0,0,0,0,0,0,0,0.0157125535691,1,-1.0,0.0,0,0,1,0,0,1,0.0
0,0.3125,0,0,0,0,0,0,0,0,0.0169080739493,1,-1.0,0.0,0,0,1,0,0,1,0.0
0,0.3125,0,0,0,0,0,0,0,0,0.135752559097,1,0.18,0.222222222222,0,0,1,0,0,1,1.0
0,0.55,0,0,0,0,0,0,0,0,0.0314251071381,1,-1.0,0.111111111111,0,0,1,0,0,1,0.0
1,0.5,0,0,0,0,0,0,0,0,0.0307419526351,0,1.0,0.0,0,1,0,0,0,1,0.0
0,0.325,0,0,0,0,0,0,0,0,0.0151757893167,1,-1.0,0.0,0,0,1,0,0,1,0.0
0,0.2125,0,0,0,0,0,0,0,0,0.0169080739493,1,-1.0,0.0,0,0,1,0,0,1,0.0
0,0.0125,0,0,0,0,0,0,0,0,0.0774648409655,1,-1.0,0.111111111111,0,0,1,0,0,1,0.5
1,0.1125,0,0,0,0,0,0,0,0,0.0400621319261,1,0.25,0.222222222222,0,0,1,0,0,1,0.0
1,0.45,0,0,0,0,1,0,0,0,0.107352850472,0,-1.0,0.111111111111,1,0,0,0,0,1,0.0
0,0.5625,0,0,0,0,0,0,0,0,0.0544571732394,0,0.25,0.444444444444,0,0,1,0,0,1,0.125
0,0.525,0,0,0,0,0,0,0,0,0.0506022299724,1,-1.0,0.0,1,0,0,0,0,1,0.0
0,0.35,0,0,0,0,0,0,0,0,0.110272457631,1,-1.0,0.0,0,0,1,0,0,1,0.0
0,0.7625,0,1,0,0,0,0,0,0,0.0653876452874,1,-1.0,0.0,1,0,0,0,0,1,0.0
0,0.05,0,0,0,0,0,0,0,0,0.0568482139999,1,-1.0,0.111111111111,0,0,1,0,1,0,0.5
1,0.0125,0,0,0,0,0,0,0,0,0.0217307543665,0,-1.0,0.111111111111,0,0,1,0,0,1,0.125
0,0.2625,0,0,0,0,0,0,0,0,0.015468569818,1,-1.0,0.0,0,0,1,0,0,1,0.0
0,0.7,1,0,0,0,0,0,0,0,0.0599142114094,1,-1.0,0.0,1,0,0,1,0,0,0.0
0,0.225,0,0,0,0,0,0,0,0,0.0153303774214,1,-1.0,0.111111111111,0,0,1,0,0,1,0.125
0,0.3125,0,0,0,0,0,0,0,0,0.0497076879475,1,0.18,0.111111111111,0,0,1,0,0,1,0.375
0,0.625,0,0,1,0,0,0,0,0,0.0560430676214,0,1.0,0.0,1,0,0,1,0,0,0.0
0,0.375,0,0,0,0,0,0,0,0,0.0253743101115,1,-1.0,0.0,0,1,0,0,0,1,0.0
0,0.45,0,0,0,0,0,0,0,0,0.0,1,-1.0,0.0,0,0,1,0,0,1,0.0
0,0.275,0,0,0,0,0,0,0,0,0.135752559097,0,-1.0,0.222222222222,0,0,1,0,0,1,1.0
0,0.36875,0,0,0,0,0,0,0,0,0.0293756436291,1,-1.0,0.0,0,1,0,1,0,0,0.0
0,0.1125,0,0,0,0,0,0,0,0,0.0612643198943,1,-1.0,0.222222222222,0,0,1,0,0,1,0.5
1,0.0125,0,0,0,0,0,1,0,0,0.0761229303346,1,-1.0,0.111111111111,0,1,0,0,0,1,0.25
1,0.05,0,0,0,0,0,0,0,0,0.042989936939,0,-1.0,0.222222222222,0,0,1,0,0,1,0.0
0,0.525,1,0,0,0,0,0,0,0,0.097593500429,1,-1.0,0.0,1,0,0,0,0,1,0.0
1,0.275,0,0,0,0,0,0,0,0,0.030253985133,0,0.18,0.0,0,0,1,0,1,0,0.125
1,0.5625,0,0,0,0,0,0,0,0,0.0518221487278,1,0.25,0.0,1,0,0,0,0,1,0.0
0,0.5,0,0,0,0,0,0,0,0,0.030253985133,1,-1.0,0.111111111111,0,0,1,0,1,0,0.125
0,0.45,0,0,0,0,0,0,0,0,0.0154115752137,1,-1.0,0.0,0,0,1,0,0,1,0.0
1,0.4,0,0,0,0,0,0,0,0,0.0253743101115,0,-1.0,0.0,0,1,0,0,0,1,0.0
0,0.2375,0,0,0,0,0,0,0,0,0.0253743101115,1,0.25,0.0,0,1,0,0,0,1,0.0
1,0.2375,0,0,0,0,0,0,0,0,0.0153303774214,0,-1.0,0.0,0,0,1,0,0,1,0.125
1,0.0375,0,0,0,0,0,1,0,0,0.0507486202231,1,-1.0,0.111111111111,0,1,0,0,0,1,0.125
1,0.55,0,1,0,0,0,0,0,0,0.0541073981339,0,-1.0,0.0,1,0,0,1,0,0,0.0
1,0.725,0,1,0,0,0,0,0,0,0.285989555153,0,-1.0,0.0,1,0,0,1,0,0,0.0
0,0.3125,0,0,0,0,0,0,0,0,0.0151269925665,1,-1.0,0.0,0,0,1,0,1,0,0.0
0,0.525,0,0,0,0,0,0,0,0,0.0164039059261,1,-1.0,0.111111111111,0,0,1,0,0,1,0.0
1,0.275,0,0,0,0,0,0,0,0,0.0151269925665,0,-1.0,0.0,0,0,1,0,1,0,0.0
0,0.3,0,0,0,0,0,0,0,0,0.0253743101115,0,-1.0,0.0,0,1,0,0,0,1,0.0
0,0.35,0,0,0,0,0,0,0,0,0.0185427650815,1,-1.0,0.0,0,0,1,0,0,1,0.0
0,0.3125,0,0,0,0,0,0,0,0,0.135752559097,1,-1.0,0.222222222222,0,0,1,0,0,1,1.0
0,0.425,0,0,0,0,0,0,0,0,0.0126789572017,1,-1.0,0.0,0,0,1,0,0,1,0.0
0,0.56875,0,0,0,0,0,0,0,0,0.014102260812,1,-1.0,0.0,0,0,1,1,0,0,0.0
1,0.225,0,0,0,0,0,0,0,0,0.0157125535691,1,-1.0,0.0,0,0,1,0,0,1,0.0
0,0.025,0,0,0,0,0,0,1,0,0.0204214399648,0,-1.0,0.111111111111,0,0,1,0,0,1,0.0
0,0.4,0,0,0,0,0,0,0,0,0.030937139636,1,-1.0,0.0,0,0,1,0,0,1,0.125
1,0.325,0,0,0,0,0,0,0,0,0.0366707577862,1,-1.0,0.0,0,0,1,1,0,0,0.0
1,0.2,0,0,0,0,0,0,0,0,0.0151269925665,0,-1.0,0.0,0,0,1,0,1,0,0.0
1,0.5,1,0,0,0,0,0,0,0,0.060507970266,1,0.18,0.0,1,0,0,1,0,0,0.0
0,0.3,0,0,0,0,0,0,0,0,0.0137606835605,1,-1.0,0.0,0,0,1,0,0,1,0.0
1,0.4375,0,0,0,0,0,0,0,0,0.0409892701802,0,-1.0,0.0,0,1,0,0,0,1,0.0
0,0.275,0,0,0,0,0,0,0,0,0.0141510575622,1,0.18,0.0,0,0,1,0,0,1,0.0
0,0.375,0,0,0,0,0,0,0,0,0.0253743101115,1,-1.0,0.0,0,1,0,0,0,1,0.0
0,0.3125,0,0,0,0,0,0,0,0,0.0151269925665,1,-1.0,0.0,0,0,1,0,1,0,0.125
